# NWS public forecast zone / county correlation, filtered to the states in the
# event-baseline corpus. Verbatim pipe-delimited rows from bp05mr24.dbx, order preserved.
# STATE|ZONE|CWA|NAME|STATE_ZONE|COUNTY|FIPS|TIME_ZONE|FE_AREA|LAT|LON
MI|034|APX|Roscommon|MI034|Roscommon|26143|E|nn|44.3356|-84.6116
MI|035|APX|Ogemaw|MI035|Ogemaw|26129|E|nn|44.3349|-84.1266
MI|036|APX|Iosco|MI036|Iosco|26069|E|nn|44.3559|-83.636
MI|041|APX|Gladwin|MI041|Gladwin|26051|E|nn|43.9906|-84.3882
MI|042|APX|Arenac|MI042|Arenac|26011|E|nn|44.0656|-83.8948
MI|086|APX|Western Chippewa |MI086|Chippewa|26033|E|ee|46.3926|-84.9529
MI|087|APX|Central Chippewa |MI087|Chippewa|26033|E|ee|46.3221|-84.3611
MI|088|APX|Southeast Chippewa |MI088|Chippewa|26033|E|ee|46.0374|-83.9354
MI|095|APX|Western Mackinac |MI095|Mackinac|26097|E|ee|46.1362|-85.5266
MI|096|APX|Eastern Mackinac |MI096|Mackinac|26097|E|ee|46.0504|-84.7048
MI|097|APX|Mackinac Island/Bois Blanc Island |MI097|Mackinac|26097|E|ee|45.779|-84.4809
MI|098|APX|Beaver Island |MI098|Charlevoix|26029|E|nn|45.6807|-85.55
MI|099|APX|Charlevoix |MI099|Charlevoix|26029|E|nn|45.2247|-85.0407
IA|008|ARX|Mitchell|IA008|Mitchell|19131|C|nc|43.3564|-92.7891
IA|009|ARX|Howard|IA009|Howard|19089|C|ne|43.3568|-92.3172
IA|010|ARX|Winneshiek|IA010|Winneshiek|19191|C|ne|43.2906|-91.8437
IA|011|ARX|Allamakee|IA011|Allamakee|19005|C|ne|43.2843|-91.3781
IA|018|ARX|Floyd|IA018|Floyd|19067|C|nc|43.06|-92.789
IA|019|ARX|Chickasaw|IA019|Chickasaw|19037|C|ne|43.0601|-92.3176
IA|029|ARX|Fayette|IA029|Fayette|19065|C|ne|42.8625|-91.8443
IA|030|ARX|Clayton|IA030|Clayton|19043|C|ne|42.8447|-91.3414
MN|079|ARX|Wabasha|MN079|Wabasha|27157|C|se|44.2842|-92.2303
MN|086|ARX|Dodge|MN086|Dodge|27039|C|se|44.0225|-92.862
MN|087|ARX|Olmsted|MN087|Olmsted|27109|C|se|44.0036|-92.4018
MN|088|ARX|Winona|MN088|Winona|27169|C|se|43.9869|-91.7791
MN|094|ARX|Mower|MN094|Mower|27099|C|se|43.6714|-92.7525
MN|095|ARX|Fillmore|MN095|Fillmore|27045|C|se|43.674|-92.0901
MN|096|ARX|Houston|MN096|Houston|27055|C|se|43.6714|-91.4928
WI|017|ARX|Taylor|WI017|Taylor|55119|C|nc|45.2115|-90.5012
WI|029|ARX|Clark|WI029|Clark|55019|C|cc|44.7347|-90.6121
WI|032|ARX|Buffalo|WI032|Buffalo|55011|C|wc|44.3799|-91.7545
WI|033|ARX|Trempealeau|WI033|Trempealeau|55121|C|wc|44.304|-91.3585
WI|034|ARX|Jackson|WI034|Jackson|55053|C|wc|44.3191|-90.8052
WI|041|ARX|La Crosse|WI041|La Crosse|55063|C|wc|43.9065|-91.1152
WI|042|ARX|Monroe|WI042|Monroe|55081|C|wc|43.9457|-90.6179
WI|043|ARX|Juneau|WI043|Juneau|55057|C|cc|43.9245|-90.114
WI|044|ARX|Adams|WI044|Adams|55001|C|cc|43.9696|-89.7706
WI|053|ARX|Vernon|WI053|Vernon|55123|C|sw|43.5939|-90.8344
WI|054|ARX|Crawford|WI054|Crawford|55023|C|sw|43.2395|-90.931
WI|055|ARX|Richland|WI055|Richland|55103|C|sw|43.3756|-90.4295
WI|061|ARX|Grant|WI061|Grant|55043|C|sw|42.8675|-90.7062
VT|001|BTV|Grand Isle|VT001|Grand Isle|50013|E|nw|44.7968|-73.2948
VT|002|BTV|Western Franklin|VT002|Franklin|50011|E|nw|44.8517|-73.034
VT|003|BTV|Orleans|VT003|Orleans|50019|E|ne|44.8288|-72.2438
VT|004|BTV|Essex|VT004|Essex|50009|E|nn|44.7281|-71.7364
VT|005|BTV|Western Chittenden|VT005|Chittenden|50007|E|nw|44.4793|-73.1562
VT|006|BTV|Lamoille|VT006|Lamoille|50015|E|nw|44.6057|-72.6414
VT|007|BTV|Caledonia|VT007|Caledonia|50005|E|ne|44.4647|-72.1022
VT|008|BTV|Washington|VT008|Washington|50023|E|cc|44.2734|-72.6149
VT|009|BTV|Western Addison|VT009|Addison|50001|E|cc|44.0215|-73.2394
VT|010|BTV|Orange|VT010|Orange|50017|E|cc|44.0056|-72.3769
VT|011|BTV|Western Rutland|VT011|Rutland|50021|E|ss|43.5856|-73.1398
VT|016|BTV|Eastern Franklin|VT016|Franklin|50011|E|nw|44.8662|-72.7255
VT|017|BTV|Eastern Chittenden|VT017|Chittenden|50007|E|nw|44.4237|-72.9287
VT|018|BTV|Eastern Addison|VT018|Addison|50001|E|cc|44.0466|-72.9674
VT|019|BTV|Eastern Rutland|VT019|Rutland|50021|E|ss|43.5713|-72.8735
VT|020|BTV|Western Windsor|VT020|Windsor|50027|E|ss|43.6473|-72.7043
VT|021|BTV|Eastern Windsor|VT021|Windsor|50027|E|ss|43.5254|-72.4895
NE|002|CYS|Dawes|NE002|Dawes|31045|M|pa|42.7197|-103.1354
NE|003|CYS|Box Butte|NE003|Box Butte|31013|M|pa|42.2198|-103.0857
NE|019|CYS|Scotts Bluff|NE019|Scotts Bluff|31157|M|pa|41.8506|-103.708
NE|020|CYS|Banner|NE020|Banner|31007|M|pa|41.546|-103.7104
NE|021|CYS|Morrill|NE021|Morrill|31123|M|pa|41.716|-103.0105
NE|054|CYS|Kimball|NE054|Kimball|31105|M|pa|41.1977|-103.715
NE|055|CYS|Cheyenne|NE055|Cheyenne|31033|M|pa|41.2198|-102.995
NE|095|CYS|North Sioux|NE095|Sioux|31165|M|pa|42.7142|-103.7719
NE|096|CYS|South Sioux|NE096|Sioux|31165|M|pa|42.2153|-103.7432
MN|010|DLH|Koochiching|MN010|Koochiching|27071|C|nc|48.2422|-93.7874
MN|011|DLH|North St. Louis|MN011|St. Louis|27137|C|ne|48.139|-92.5294
MN|012|DLH|Northern Cook/Northern Lake|MN012|Cook|27031|C|ne|47.8238|-91.1981
MN|012|DLH|Northern Cook/Northern Lake|MN012|Lake|27075|C|ne|47.8238|-91.1981
MN|018|DLH|North Itasca|MN018|Itasca|27061|C|nc|47.6644|-93.7298
MN|019|DLH|Central St. Louis|MN019|St. Louis|27137|C|ne|47.4461|-92.4352
MN|020|DLH|Southern Lake/North Shore|MN020|Lake|27075|C|ne|47.282|-91.4479
MN|020|DLH|Southern Lake/North Shore|MN020|St. Louis|27137|C|ne|47.282|-91.4479
MN|021|DLH|Southern Cook/North Shore|MN021|Cook|27031|C|ne|47.8033|-90.4117
MN|025|DLH|North Cass|MN025|Cass|27021|C|nc|47.1039|-94.2344
MN|026|DLH|South Itasca|MN026|Itasca|27061|C|nc|47.2596|-93.4742
MN|033|DLH|South Cass|MN033|Cass|27021|C|nc|46.5646|-94.5522
MN|034|DLH|Crow Wing|MN034|Crow Wing|27035|C|ec|46.4824|-94.0709
MN|035|DLH|Northern Aitkin|MN035|Aitkin|27001|C|ec|46.826|-93.4185
MN|036|DLH|South Aitkin|MN036|Aitkin|27001|C|ec|46.4095|-93.4126
MN|037|DLH|Carlton/South St. Louis|MN037|Carlton|27017|C|ne|46.7516|-92.5801
MN|037|DLH|Carlton/South St. Louis|MN037|St. Louis|27137|C|ne|46.7516|-92.5801
MN|038|DLH|Pine|MN038|Pine|27115|C|ec|46.1208|-92.7414
WI|001|DLH|Douglas|WI001|Douglas|55031|C|nw|46.4309|-91.9147
WI|002|DLH|Bayfield|WI002|Bayfield|55007|C|nw|46.5241|-91.2006
WI|003|DLH|Ashland|WI003|Ashland|55003|C|nw|46.3148|-90.6781
WI|004|DLH|Iron|WI004|Iron|55051|C|nw|46.2623|-90.242
WI|006|DLH|Burnett|WI006|Burnett|55013|C|nw|45.8627|-92.3676
WI|007|DLH|Washburn|WI007|Washburn|55129|C|nw|45.8993|-91.7912
WI|008|DLH|Sawyer|WI008|Sawyer|55113|C|nw|45.88|-91.1447
WI|009|DLH|Price|WI009|Price|55099|C|nc|45.6804|-90.3614
IA|004|DMX|Emmet|IA004|Emmet|19063|C|nw|43.3779|-94.6784
IA|005|DMX|Kossuth|IA005|Kossuth|19109|C|nc|43.2042|-94.2067
IA|006|DMX|Winnebago|IA006|Winnebago|19189|C|nc|43.3775|-93.7342
IA|007|DMX|Worth|IA007|Worth|19195|C|nc|43.3774|-93.2609
IA|015|DMX|Palo Alto|IA015|Palo Alto|19147|C|nw|43.082|-94.6782
IA|016|DMX|Hancock|IA016|Hancock|19081|C|nc|43.0818|-93.7343
IA|017|DMX|Cerro Gordo|IA017|Cerro Gordo|19033|C|nc|43.0816|-93.2608
IA|023|DMX|Pocahontas|IA023|Pocahontas|19151|C|nw|42.7341|-94.6789
IA|024|DMX|Humboldt|IA024|Humboldt|19091|C|nc|42.7764|-94.2073
IA|025|DMX|Wright|IA025|Wright|19197|C|nc|42.7331|-93.7352
IA|026|DMX|Franklin|IA026|Franklin|19069|C|nc|42.7325|-93.2624
IA|027|DMX|Butler|IA027|Butler|19023|C|nc|42.7316|-92.7902
IA|028|DMX|Bremer|IA028|Bremer|19017|C|ne|42.7747|-92.3182
IA|033|DMX|Sac|IA033|Sac|19161|C|wc|42.3862|-95.1055
IA|034|DMX|Calhoun|IA034|Calhoun|19025|C|wc|42.3852|-94.6405
IA|035|DMX|Webster|IA035|Webster|19187|C|cc|42.4278|-94.1818
IA|036|DMX|Hamilton|IA036|Hamilton|19079|C|cc|42.3837|-93.7068
IA|037|DMX|Hardin|IA037|Hardin|19083|C|cc|42.3838|-93.2404
IA|038|DMX|Grundy|IA038|Grundy|19075|C|cc|42.4019|-92.791
IA|039|DMX|Black Hawk|IA039|Black Hawk|19013|C|ne|42.4701|-92.3085
IA|044|DMX|Crawford|IA044|Crawford|19047|C|wc|42.0372|-95.3821
IA|045|DMX|Carroll|IA045|Carroll|19027|C|wc|42.0362|-94.8607
IA|046|DMX|Greene|IA046|Greene|19073|C|wc|42.0362|-94.3969
IA|047|DMX|Boone|IA047|Boone|19015|C|cc|42.0366|-93.9318
IA|048|DMX|Story|IA048|Story|19169|C|cc|42.0362|-93.4651
IA|049|DMX|Marshall|IA049|Marshall|19127|C|cc|42.0358|-92.9988
IA|050|DMX|Tama|IA050|Tama|19171|C|cc|42.0798|-92.5326
IA|057|DMX|Audubon|IA057|Audubon|19009|C|wc|41.6846|-94.9058
IA|058|DMX|Guthrie|IA058|Guthrie|19077|C|wc|41.6838|-94.501
IA|059|DMX|Dallas|IA059|Dallas|19049|C|cc|41.6849|-94.0398
IA|060|DMX|Polk|IA060|Polk|19153|C|cc|41.6855|-93.5734
IA|061|DMX|Jasper|IA061|Jasper|19099|C|cc|41.686|-93.0537
IA|062|DMX|Poweshiek|IA062|Poweshiek|19157|C|cc|41.6864|-92.5314
IA|070|DMX|Cass|IA070|Cass|19029|C|sw|41.3315|-94.9278
IA|071|DMX|Adair|IA071|Adair|19001|C|sw|41.3307|-94.471
IA|072|DMX|Madison|IA072|Madison|19121|C|sc|41.3307|-94.0155
IA|073|DMX|Warren|IA073|Warren|19181|C|sc|41.3343|-93.5614
IA|074|DMX|Marion|IA074|Marion|19125|C|sc|41.3344|-93.0995
IA|075|DMX|Mahaska|IA075|Mahaska|19123|C|sc|41.3351|-92.6409
IA|081|DMX|Adams|IA081|Adams|19003|C|sw|41.029|-94.6992
IA|082|DMX|Union|IA082|Union|19175|C|sc|41.0277|-94.2424
IA|083|DMX|Clarke|IA083|Clarke|19039|C|sc|41.029|-93.7851
IA|084|DMX|Lucas|IA084|Lucas|19117|C|sc|41.0293|-93.3277
IA|085|DMX|Monroe|IA085|Monroe|19135|C|sc|41.0297|-92.869
IA|086|DMX|Wapello|IA086|Wapello|19179|C|se|41.0306|-92.4095
IA|092|DMX|Taylor|IA092|Taylor|19173|C|sw|40.7374|-94.6965
IA|093|DMX|Ringgold|IA093|Ringgold|19159|C|sc|40.7352|-94.244
IA|094|DMX|Decatur|IA094|Decatur|19053|C|sc|40.7377|-93.7863
IA|095|DMX|Wayne|IA095|Wayne|19185|C|sc|40.7395|-93.3274
IA|096|DMX|Appanoose|IA096|Appanoose|19007|C|sc|40.7432|-92.8687
IA|097|DMX|Davis|IA097|Davis|19051|C|se|40.7477|-92.4097
MI|047|DTX|Midland|MI047|Midland|26111|E|se|43.6468|-84.3879
MI|048|DTX|Bay|MI048|Bay|26017|E|se|43.7072|-83.9921
MI|049|DTX|Huron|MI049|Huron|26063|E|se|43.8333|-83.0193
MI|053|DTX|Saginaw|MI053|Saginaw|26145|E|se|43.335|-84.0532
MI|054|DTX|Tuscola|MI054|Tuscola|26157|E|se|43.4641|-83.4167
MI|055|DTX|Sanilac|MI055|Sanilac|26151|E|se|43.4235|-82.8201
MI|060|DTX|Shiawassee|MI060|Shiawassee|26155|E|se|42.9537|-84.1467
MI|061|DTX|Genesee|MI061|Genesee|26049|E|se|43.0217|-83.7067
MI|062|DTX|Lapeer|MI062|Lapeer|26087|E|se|43.0901|-83.2218
MI|063|DTX|St. Clair|MI063|St. Clair|26147|E|se|42.9425|-82.682
MI|068|DTX|Livingston|MI068|Livingston|26093|E|se|42.603|-83.9115
MI|069|DTX|Oakland|MI069|Oakland|26125|E|se|42.6604|-83.3855
MI|070|DTX|Macomb|MI070|Macomb|26099|E|se|42.6956|-82.9322
MI|075|DTX|Washtenaw|MI075|Washtenaw|26161|E|se|42.2534|-83.8385
MI|076|DTX|Wayne|MI076|Wayne|26163|E|se|42.284|-83.2865
MI|082|DTX|Lenawee|MI082|Lenawee|26091|E|se|41.8951|-84.0664
MI|083|DTX|Monroe|MI083|Monroe|26115|E|se|41.9292|-83.5373
IA|040|DVN|Buchanan|IA040|Buchanan|19019|C|ne|42.4707|-91.8379
IA|041|DVN|Delaware|IA041|Delaware|19055|C|ne|42.4711|-91.3673
IA|042|DVN|Dubuque|IA042|Dubuque|19061|C|ne|42.4688|-90.8824
IA|051|DVN|Benton|IA051|Benton|19011|C|ec|42.0801|-92.0657
IA|052|DVN|Linn|IA052|Linn|19113|C|ec|42.0789|-91.5989
IA|053|DVN|Jones|IA053|Jones|19105|C|ec|42.1212|-91.1314
IA|054|DVN|Jackson|IA054|Jackson|19097|C|ec|42.1717|-90.5742
IA|063|DVN|Iowa|IA063|Iowa|19095|C|ec|41.6863|-92.0656
IA|064|DVN|Johnson|IA064|Johnson|19103|C|ec|41.6715|-91.5881
IA|065|DVN|Cedar|IA065|Cedar|19031|C|ec|41.7723|-91.1324
IA|066|DVN|Clinton|IA066|Clinton|19045|C|ec|41.898|-90.532
IA|067|DVN|Muscatine|IA067|Muscatine|19139|C|ec|41.4839|-91.1127
IA|068|DVN|Scott|IA068|Scott|19163|C|ec|41.6371|-90.6232
IA|076|DVN|Keokuk|IA076|Keokuk|19107|C|se|41.3364|-92.1787
IA|077|DVN|Washington|IA077|Washington|19183|C|se|41.3356|-91.7179
IA|078|DVN|Louisa|IA078|Louisa|19115|C|se|41.2185|-91.2597
IA|087|DVN|Jefferson|IA087|Jefferson|19101|C|se|41.0318|-91.9489
IA|088|DVN|Henry|IA088|Henry|19087|C|se|40.9879|-91.5446
IA|089|DVN|Des Moines|IA089|Des Moines|19057|C|se|40.9232|-91.1815
IA|098|DVN|Van Buren|IA098|Van Buren|19177|C|se|40.7532|-91.95
IA|099|DVN|Lee|IA099|Lee|19111|C|se|40.642|-91.4792
IL|001|DVN|Jo Daviess|IL001|Jo Daviess|17085|C|nw|42.3657|-90.2123
IL|002|DVN|Stephenson|IL002|Stephenson|17177|C|nw|42.3517|-89.6625
IL|007|DVN|Carroll|IL007|Carroll|17015|C|nw|42.0688|-89.9345
IL|009|DVN|Whiteside|IL009|Whiteside|17195|C|nw|41.7563|-89.9141
IL|015|DVN|Rock Island|IL015|Rock Island|17161|C|nw|41.4674|-90.5674
IL|016|DVN|Henry|IL016|Henry|17073|C|nw|41.3531|-90.1314
IL|017|DVN|Bureau|IL017|Bureau|17011|C|nc|41.4041|-89.5287
IL|018|DVN|Putnam|IL018|Putnam|17155|C|nc|41.2045|-89.2858
IL|024|DVN|Mercer|IL024|Mercer|17131|C|nw|41.2053|-90.7414
IL|025|DVN|Henderson|IL025|Henderson|17071|C|wc|40.8181|-90.9251
IL|026|DVN|Warren|IL026|Warren|17187|C|wc|40.8488|-90.615
IL|034|DVN|Hancock|IL034|Hancock|17067|C|wc|40.4037|-91.1647
IL|035|DVN|McDonough|IL035|McDonough|17109|C|wc|40.4562|-90.678
MN|001|FGF|West Polk|MN001|Polk|27119|C|nw|47.8466|-96.7048
MN|002|FGF|Norman|MN002|Norman|27107|C|nw|47.3265|-96.4551
MN|003|FGF|Clay|MN003|Clay|27027|C|nw|46.8924|-96.4906
MN|004|FGF|Kittson|MN004|Kittson|27069|C|nw|48.7766|-96.7826
MN|005|FGF|Roseau|MN005|Roseau|27135|C|nw|48.7751|-95.8107
MN|006|FGF|Lake Of The Woods|MN006|Lake of the Woods|27077|C|nc|48.7719|-94.9051
MN|007|FGF|West Marshall|MN007|Marshall|27089|C|nw|48.3592|-96.7657
MN|008|FGF|East Marshall|MN008|Marshall|27089|C|nw|48.3571|-95.9961
MN|009|FGF|North Beltrami|MN009|Beltrami|27007|C|nc|48.1627|-95.0124
MN|013|FGF|Pennington|MN013|Pennington|27113|C|nw|48.0662|-96.0367
MN|014|FGF|Red Lake|MN014|Red Lake|27125|C|nw|47.8717|-96.0953
MN|015|FGF|East Polk|MN015|Polk|27119|C|nw|47.6577|-95.918
MN|016|FGF|North Clearwater|MN016|Clearwater|27029|C|nw|47.752|-95.3891
MN|017|FGF|South Beltrami|MN017|Beltrami|27007|C|nc|47.6313|-94.8022
MN|022|FGF|Mahnomen|MN022|Mahnomen|27087|C|nw|47.3252|-95.809
MN|023|FGF|South Clearwater|MN023|Clearwater|27029|C|nw|47.3228|-95.3643
MN|024|FGF|Hubbard|MN024|Hubbard|27057|C|nc|47.1087|-94.9166
MN|027|FGF|West Becker|MN027|Becker|27005|C|nw|46.9358|-95.9229
MN|028|FGF|East Becker|MN028|Becker|27005|C|nw|46.9334|-95.4143
MN|029|FGF|Wilkin|MN029|Wilkin|27167|C|wc|46.357|-96.4684
MN|030|FGF|West Otter Tail|MN030|Otter Tail|27111|C|wc|46.4061|-96.0175
MN|031|FGF|East Otter Tail|MN031|Otter Tail|27111|C|wc|46.4109|-95.4624
MN|032|FGF|Wadena|MN032|Wadena|27159|C|cc|46.5858|-94.9694
MN|040|FGF|Grant|MN040|Grant|27051|C|wc|45.934|-96.0121
IA|001|FSD|Lyon|IA001|Lyon|19119|C|nw|43.3805|-96.2103
IA|002|FSD|Osceola|IA002|Osceola|19143|C|nw|43.3785|-95.6238
IA|003|FSD|Dickinson|IA003|Dickinson|19059|C|nw|43.3779|-95.151
IA|012|FSD|Sioux|IA012|Sioux|19167|C|nw|43.0826|-96.1779
IA|013|FSD|O'Brien|IA013|O'Brien|19141|C|nw|43.0838|-95.625
IA|014|FSD|Clay|IA014|Clay|19041|C|nw|43.0826|-95.151
IA|020|FSD|Plymouth|IA020|Plymouth|19149|C|nw|42.7378|-96.2142
IA|021|FSD|Cherokee|IA021|Cherokee|19035|C|nw|42.7357|-95.6239
IA|022|FSD|Buena Vista|IA022|Buena Vista|19021|C|nw|42.7355|-95.1513
IA|031|FSD|Woodbury|IA031|Woodbury|19193|C|wc|42.3897|-96.0449
IA|032|FSD|Ida|IA032|Ida|19093|C|wc|42.3868|-95.5136
MN|071|FSD|Lincoln|MN071|Lincoln|27081|C|sw|44.4126|-96.2671
MN|072|FSD|Lyon|MN072|Lyon|27083|C|sw|44.4135|-95.839
MN|080|FSD|Murray|MN080|Murray|27101|C|sw|44.0221|-95.7632
MN|081|FSD|Cottonwood|MN081|Cottonwood|27033|C|sw|44.0071|-95.1812
MN|089|FSD|Nobles|MN089|Nobles|27105|C|sw|43.6742|-95.7534
MN|090|FSD|Jackson|MN090|Jackson|27063|C|sw|43.6741|-95.1541
MN|097|FSD|Pipestone|MN097|Pipestone|27117|C|sw|44.023|-96.2586
MN|098|FSD|Rock|MN098|Rock|27133|C|sw|43.6747|-96.2532
NE|013|FSD|Dixon|NE013|Dixon|31051|C|ne|42.4932|-96.8677
NE|014|FSD|Dakota|NE014|Dakota|31043|C|ne|42.3911|-96.5646
NE|039|GID|Valley|NE039|Valley|31175|C|cc|41.5673|-98.9819
NE|040|GID|Greeley|NE040|Greeley|31077|C|cc|41.5675|-98.5212
NE|041|GID|Nance|NE041|Nance|31125|C|cc|41.3973|-97.9923
NE|046|GID|Sherman|NE046|Sherman|31163|C|cc|41.2205|-98.9763
NE|047|GID|Howard|NE047|Howard|31093|C|cc|41.22|-98.5171
NE|048|GID|Merrick|NE048|Merrick|31121|C|cc|41.1698|-98.0376
NE|049|GID|Polk|NE049|Polk|31143|C|ec|41.1869|-97.5684
NE|060|GID|Dawson|NE060|Dawson|31047|C|sc|40.8699|-99.8195
NE|061|GID|Buffalo|NE061|Buffalo|31019|C|sc|40.8551|-99.075
NE|062|GID|Hall|NE062|Hall|31079|C|sc|40.8725|-98.5022
NE|063|GID|Hamilton|NE063|Hamilton|31081|C|sc|40.8735|-98.0233
NE|064|GID|York|NE064|York|31185|C|ec|40.8728|-97.5971
NE|072|GID|Gosper|NE072|Gosper|31073|C|sc|40.5148|-99.8307
NE|073|GID|Phelps|NE073|Phelps|31137|C|sc|40.5111|-99.4145
NE|074|GID|Kearney|NE074|Kearney|31099|C|sc|40.5067|-98.948
NE|075|GID|Adams|NE075|Adams|31001|C|sc|40.5245|-98.5012
NE|076|GID|Clay|NE076|Clay|31035|C|sc|40.5244|-98.0512
NE|077|GID|Fillmore|NE077|Fillmore|31059|C|sc|40.5247|-97.5965
NE|082|GID|Furnas|NE082|Furnas|31065|C|sc|40.1764|-99.9123
NE|083|GID|Harlan|NE083|Harlan|31083|C|sc|40.1765|-99.4046
NE|084|GID|Franklin|NE084|Franklin|31061|C|sc|40.1763|-98.9527
NE|085|GID|Webster|NE085|Webster|31181|C|sc|40.1764|-98.4999
NE|086|GID|Nuckolls|NE086|Nuckolls|31129|C|sc|40.1764|-98.0472
NE|087|GID|Thayer|NE087|Thayer|31169|C|sc|40.1763|-97.5948
NE|079|GLD|Dundy|NE079|Dundy|31057|M|sw|40.1762|-101.6879
NE|080|GLD|Hitchcock|NE080|Hitchcock|31087|C|sw|40.1763|-101.0422
NE|081|GLD|Red Willow|NE081|Red Willow|31145|C|sw|40.1758|-100.4768
WI|005|GRB|Vilas|WI005|Vilas|55125|C|nc|46.0529|-89.5148
WI|010|GRB|Oneida|WI010|Oneida|55085|C|nc|45.7056|-89.5217
WI|011|GRB|Forest|WI011|Forest|55041|C|ne|45.6673|-88.7704
WI|012|GRB|Florence|WI012|Florence|55037|C|ne|45.8484|-88.3982
WI|013|GRB|Northern Marinette County|WI013|Marinette|55075|C|ne|45.5511|-88.109
WI|018|GRB|Lincoln|WI018|Lincoln|55069|C|nc|45.3375|-89.7346
WI|019|GRB|Langlade|WI019|Langlade|55067|C|nc|45.2624|-89.0719
WI|020|GRB|Menominee|WI020|Menominee|55078|C|ne|45.0044|-88.71
WI|021|GRB|Northern Oconto County|WI021|Oconto|55083|C|ne|45.2006|-88.4257
WI|022|GRB|Door|WI022|Door|55029|C|ne|44.9435|-87.3173
WI|030|GRB|Marathon|WI030|Marathon|55073|C|cc|44.8983|-89.759
WI|031|GRB|Shawano|WI031|Shawano|55115|C|ne|44.7892|-88.7656
WI|035|GRB|Wood|WI035|Wood|55141|C|cc|44.4553|-90.0416
WI|036|GRB|Portage|WI036|Portage|55097|C|cc|44.476|-89.5015
WI|037|GRB|Waupaca|WI037|Waupaca|55135|C|ne|44.4704|-88.9648
WI|038|GRB|Outagamie|WI038|Outagamie|55087|C|ne|44.4161|-88.4649
WI|039|GRB|Brown|WI039|Brown|55009|C|ne|44.4537|-88.0032
WI|040|GRB|Kewaunee|WI040|Kewaunee|55061|C|ne|44.5161|-87.6154
WI|045|GRB|Waushara|WI045|Waushara|55137|C|cc|44.1131|-89.2429
WI|048|GRB|Winnebago|WI048|Winnebago|55139|C|ec|44.0689|-88.6446
WI|049|GRB|Calumet|WI049|Calumet|55015|C|ec|44.0817|-88.218
WI|050|GRB|Manitowoc|WI050|Manitowoc|55071|C|ec|44.1198|-87.8096
WI|073|GRB|Southern Marinette County|WI073|Marinette|55075|C|ne|45.1874|-87.9475
WI|074|GRB|Southern Oconto County|WI074|Oconto|55083|C|ne|44.8829|-88.139
MI|037|GRR|Mason|MI037|Mason|26105|E|wc|43.9954|-86.2497
MI|038|GRR|Lake|MI038|Lake|26085|E|wc|43.99|-85.8017
MI|039|GRR|Osceola|MI039|Osceola|26133|E|cc|43.9899|-85.3252
MI|040|GRR|Clare|MI040|Clare|26035|E|cc|43.9879|-84.8478
MI|043|GRR|Oceana|MI043|Oceana|26127|E|wc|43.6407|-86.2673
MI|044|GRR|Newaygo|MI044|Newaygo|26123|E|wc|43.5542|-85.8009
MI|045|GRR|Mecosta|MI045|Mecosta|26107|E|cc|43.6409|-85.3245
MI|046|GRR|Isabella|MI046|Isabella|26073|E|cc|43.6406|-84.8467
MI|050|GRR|Muskegon|MI050|Muskegon|26121|E|wc|43.2912|-86.1481
MI|051|GRR|Montcalm|MI051|Montcalm|26117|E|cc|43.311|-85.1524
